,charName,gender,source_dlg,text,comment
23822,Wookiee Guard (upper boughs),,kas23_wookg2_01,You are not permitted to enter the rest of Rwookrrorro. Our children live in the upper boughs. You will not disturb them.,"This guard stands at the opposite end of the village as the entrance from 22ab. He guards the ""entrance to the rest of Rwookrrorro"", which doesn't actually exist, but we are claiming that it does and that only a wookie would be able to climb there."
23898,Trask,,end_pop02,You need to equip a weapon for combat!,
23905,Trask,,end_pop03,"Hitting the buttons over and over again will not speed up your attacks and will not help you in combat! Combat uses a real-time, turn based system.",Button mash barkstring 1
23924,Trask,,end_pop01,"Whenever you attack an enemy, you will enter combat mode. This locks the camera on your target. To exit combat mode and unlock the camera, push the Disengage button.",
23953,Canderous,,lev40_candtrig,It's Canderous. We took care of the guards. We're inside the Ebon Hawk and all systems are go. As soon as you guys join us we can get out of here.,
23999,Generic Ithorian,,tat17_12ithor_01,"Go tip a bantha, human.",This is a generic dialogue for the ithorians that do a circuit on the streets of Anchorhead 17.12a
24007,Gana Lavin,,tar02_gana02ac_d,Help! Daddy!,
24031,Hulas,,man26_hulas,"A human? There are Selkath everywhere, but you choose to speak with me. Am I so different? Do you think I have answers that others do not?",
24301,The One,,unk43_battle,The Black Rakata shall never fall to you!, closeup of the one
24303,SYSTEM,,tar03_dlg_cpbek,"Trigger for bek base is to the left, beside this terminal.",
24317,SYSTEM,,man28_doorfb,You have yet to recover the Star Map.,
24318,SYSTEM,,lev40_decomdroid,The droid is actively engaged in its patrol route. You cannot reprogram it anymore.,in patrol mode
24359,Zaalbar,,k_sta_zaalbar,"Wait! This... this isn't right. What am I doing here? I know you are evil, but I followed you anyway! What have I done?",
24361,Ambush Speaker,,tat18_12ambus_01,Help! Please! Over here! Under the wreckage!,This character is the recorded voice of a female in distress.  It is a recording played to lure the player into an ambush. There is one additional line in Gurke's dialogue as well
24370,SYSTEM,,man28_comp,Kolto Control Panel,
24377,Unknown NPC,,man26_wait,I heard the Republic are the cause of the kolto shortage. I wonder if it's true?," random, if kolto destroyed"
24392,Sith Patrol Leader,,tar05_sithpatrol,You there! Civillian! This is a restricted area! What are you doing down here?,
24419,Canderous,,lev40_cand_dlg,It's Canderous. We took care of the guards. We're inside the Ebon Hawk and all systems are go. As soon as you guys join us we can get out of here.,
24422,Upper City Woman 2,,tar02_woman2,I'm not doing anything wrong! I'm just standing here... you Sith can't arrest me for that!,
